partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
323	1505	COL6A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FB1817EE
324	1505	COL6A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C5B4E222
325	1505	COL6A3	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC044916391
34	1505	COL6A5	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E453F338
33	1505	COL6A6	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0EDDBD0FB
708	1505	COL7A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC037038602
1343	1505	COL8A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC04FF0CDA1
450	1505	COL8A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0CC30CEC0
412	1505	COL9A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E8C3A996
760	1505	COL9A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C155763A
759	1505	COL9A3	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC086D7EC73
208	1505	FN1	ITGA11_ITGB1	Adhesion by Fibronectin	Adhesion-Adhesion	CPI-SC0AE4F5BAB
199	1168	COL3A1	ADGRG1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS0343DD0EE
179	1168	GAST	ADGRG1	Signaling by Gastrin	Ligand-Receptor	CPI-SS06265E131
1320	1168	TGM2	ADGRG1		Ligand-Receptor	CPI-SS09C0B8677
200	1169	COL4A1	ADGRG6	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS015BF69EE
272	1169	COL4A2	ADGRG6	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS01771D11B
703	1169	COL4A3	ADGRG6	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS0AADAB219
648	1169	COL4A4	ADGRG6	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS06D2944B5
1344	1169	COL4A5	ADGRG6	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS0924C61F1
