interaction_key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,sum_across_punches
pericyte_pericyte_PDGFA_PDGFRB,0,25,21,26,17,16,29,12,7,22,16,9,10,10,0,5,0,0,0,0,0,0,14,0,0,6,3,17,18,33,34,28,23,14,19,0,0,0,0,6,32,33,26,18,20,14,22,0,35,0,24,22,25,25,26,0,11,0,16,25,0,25,17,28,26,910
endothelial cell_macrophage_THBS1_CD47,0,30,0,32,15,15,23,0,0,21,20,22,18,18,10,12,11,0,7,18,0,0,17,0,16,0,0,24,25,41,27,28,30,0,23,0,0,6,6,10,22,32,27,21,20,13,29,16,29,0,0,30,0,31,0,0,13,6,0,26,16,19,15,20,0,910
endothelial cell_macrophage_DLL4_NOTCH2,0,30,0,32,15,0,23,0,21,21,0,0,18,18,0,12,11,0,7,18,14,10,17,11,16,15,0,24,25,41,27,28,0,0,0,0,0,0,0,0,22,32,27,21,20,0,29,16,29,13,0,30,30,31,28,0,13,6,0,0,16,19,15,20,34,905
endothelial cell_macrophage_ANGPTL2_TLR4,0,30,0,32,0,0,23,7,0,21,20,22,18,18,0,0,11,0,0,18,14,0,0,0,0,0,0,24,25,41,27,28,30,14,23,0,0,0,0,0,22,32,27,21,20,13,29,16,29,13,14,30,30,31,28,0,0,0,0,0,16,19,15,20,34,905
endothelial cell_Tumor_DLL4_NOTCH2,0,35,0,32,12,0,27,25,25,0,0,15,13,13,0,11,10,0,6,13,0,0,11,6,9,0,0,36,39,31,25,31,0,0,0,0,0,0,0,17,17,21,20,23,12,0,36,10,21,11,0,30,31,31,32,0,4,18,22,0,22,15,16,20,43,897
pericyte_pericyte_COL4A2_CD44,0,25,21,26,17,16,29,12,7,0,16,9,10,10,0,0,0,0,0,27,0,0,14,0,8,0,0,17,18,33,34,28,23,14,19,0,0,0,0,0,32,33,26,18,20,14,22,0,0,0,24,22,25,25,26,4,11,8,16,25,15,25,17,28,26,895
endothelial cell_Tumor_THY1_ADGRE5,0,35,12,32,12,9,27,25,0,29,29,15,13,13,5,11,10,0,0,0,0,0,0,0,0,0,0,36,39,31,25,31,0,9,17,0,0,0,0,17,17,21,20,23,0,18,36,0,0,11,0,30,31,31,32,0,4,18,22,32,22,0,0,0,43,893
endothelial cell_pericyte_PROS1_AXL,0,37,0,42,24,18,37,22,15,30,15,0,0,0,0,0,0,0,0,33,0,0,18,0,12,0,0,26,33,0,0,38,30,0,19,0,0,0,0,0,0,39,32,21,0,14,31,0,36,0,28,0,38,0,33,0,15,0,0,27,22,26,19,26,37,893
pericyte_endothelial cell_PECAM1_PECAM1,10,34,0,32,19,17,26,8,0,23,11,6,0,9,0,0,0,0,0,18,5,0,11,5,0,0,2,21,22,38,34,38,24,11,14,0,1,4,4,0,32,25,18,14,16,5,18,5,40,0,20,22,26,29,24,0,4,0,18,27,9,21,16,26,21,883
endothelial cell_pericyte_SDC2_ADGRA2,0,37,0,42,24,18,37,22,0,30,0,16,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0,26,33,45,31,38,0,19,19,0,0,0,0,0,31,39,32,21,21,0,0,0,36,0,28,33,38,40,33,0,0,0,0,0,22,0,0,0,37,881
