ligand,receptor,pathway,signaling_type,version
WNT4,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT6,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7A,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT7B,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8A,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT8B,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9A,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT9B,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD1_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD10_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD2_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD3_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD4_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD5_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD6_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD7_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD8_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD9_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD1_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD10_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD2_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD3_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD4_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD5_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD6_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD7_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD8_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD9_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD1_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD10_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD2_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD3_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD4_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD5_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD6_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD7_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD8_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD9_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD1_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD10_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD2_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD3_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD4_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD5_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD6_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD7_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD8_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD9_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD1_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD10_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD2_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD3_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD4_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD5_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD6_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD7_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD8_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD9_LRP6,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD1_LRP6,WNT,Secreted Signaling,CellChatDB v1
