ligand,receptor,pathway,signaling_type
OMD,ITGAV_ITGB3,nan,Secreted Signaling
JAM3,JAM3,nan,Cell-Cell Contact
JAM3,ITGB2_ITGAM,nan,Secreted Signaling
RSPO3,LGR4,nan,Secreted Signaling
RSPO3,LGR6,nan,Secreted Signaling
CADM1,CADM1,nan,Cell-Cell Contact
CADM1,NECTIN3,nan,Cell-Cell Contact
GHRL,ACE2,nan,Secreted Signaling
NPVF,NPFFR1,nan,Secreted Signaling
SEMA4A,PLXND1,nan,Cell-Cell Contact
CRLF2,IL7R_CRLF2,nan,Secreted Signaling
DLL4,NOTCH3,nan,Cell-Cell Contact
INSL5,RXFP3,nan,Secreted Signaling
DLL3,NOTCH3,nan,Cell-Cell Contact
IL37,IL1RAPL1,nan,Secreted Signaling
IFNK,IFNAR1_IFNAR2,nan,Secreted Signaling
COL20A1,ITGB1_ITGA10,nan,Secreted Signaling
COL20A1,ITGB1_ITGA11,nan,Secreted Signaling
COL20A1,ITGB1_ITGA1,nan,Secreted Signaling
COL20A1,ITGB1_ITGA2,nan,Secreted Signaling
CDH7,CDH7,nan,Cell-Cell Contact
NOTCH3,JAG2,nan,Cell-Cell Contact
COL17A1,ITGB1_ITGA10,nan,Secreted Signaling
COL17A1,ITGB1_ITGA11,nan,Secreted Signaling
COL17A1,ITGB1_ITGA1,nan,Secreted Signaling
COL17A1,ITGB1_ITGA2,nan,Secreted Signaling
TNFSF18,TNFRSF18,nan,Secreted Signaling
F11R,ITGB2_ITGAL,nan,Cell-Cell Contact
ALDH1A1,RARA_CRABP2,nan,Secreted Signaling
ALDH1A2,RARA_CRABP2,nan,Secreted Signaling
ALDH1A3,RARA_CRABP2,nan,Secreted Signaling
ALDH1A1,RARA_RXRA_CRABP2,nan,Secreted Signaling
ALDH1A2,RARA_RXRA_CRABP2,nan,Secreted Signaling
ALDH1A3,RARA_RXRA_CRABP2,nan,Secreted Signaling
ALDH1A1,RARB_CRABP2,nan,Secreted Signaling
ALDH1A2,RARB_CRABP2,nan,Secreted Signaling
ALDH1A3,RARB_CRABP2,nan,Secreted Signaling
ALDH1A1,RARB_RXRB_CRABP2,nan,Secreted Signaling
ALDH1A2,RARB_RXRB_CRABP2,nan,Secreted Signaling
ALDH1A3,RARB_RXRB_CRABP2,nan,Secreted Signaling
ALDH1A1,RARG_CRABP2,nan,Secreted Signaling
ALDH1A2,RARG_CRABP2,nan,Secreted Signaling
ALDH1A3,RARG_CRABP2,nan,Secreted Signaling
ALDH1A1,RARG_RXRG_CRABP2,nan,Secreted Signaling
ALDH1A2,RARG_RXRG_CRABP2,nan,Secreted Signaling
ALDH1A3,RARG_RXRG_CRABP2,nan,Secreted Signaling
ALDH1A1,RXRA_CRABP2,nan,Secreted Signaling
ALDH1A2,RXRA_CRABP2,nan,Secreted Signaling
ALDH1A3,RXRA_CRABP2,nan,Secreted Signaling
ALDH1A1,RXRB_CRABP2,nan,Secreted Signaling
ALDH1A2,RXRB_CRABP2,nan,Secreted Signaling
ALDH1A3,RXRB_CRABP2,nan,Secreted Signaling
ALDH1A1,RXRG_CRABP2,nan,Secreted Signaling
ALDH1A2,RXRG_CRABP2,nan,Secreted Signaling
ALDH1A3,RXRG_CRABP2,nan,Secreted Signaling
