ligand,receptor,pathway,signaling_type
CCL16,CCR8,nan,Secreted Signaling
CCL16,HRH4,nan,Secreted Signaling
FGF10,FGFR2,nan,Secreted Signaling
ADIPOQ,GPR42,nan,Secreted Signaling
CCL4L2,GPR42,nan,Secreted Signaling
FAM3C,GPR42,nan,Secreted Signaling
BMP10,FFAR2,nan,Secreted Signaling
TNF,FFAR2,nan,Secreted Signaling
CCL4L2,FFAR2,nan,Secreted Signaling
FAM3C,FFAR2,nan,Secreted Signaling
PLXNB1,SEMA4D,nan,Secreted Signaling
MLN,MLNR,nan,Secreted Signaling
GHRL,MLNR,nan,Secreted Signaling
DHH,PTCH1_BOC,nan,Secreted Signaling
DHH,PTCH1_CDON,nan,Secreted Signaling
DHH,PTCH1_GAS1,nan,Secreted Signaling
TNFSF12,TNFRSF25,nan,Secreted Signaling
TNFSF12,TNFRSF12A,nan,Secreted Signaling
GNRH2,GNRHR,nan,Secreted Signaling
GNRH2,GNRHR2,nan,Secreted Signaling
TNFSF14,LTBR,nan,Secreted Signaling
TNFSF14,TNFRSF14,nan,Secreted Signaling
HCRT,HCRTR1,nan,Secreted Signaling
HCRT,HCRTR2,nan,Secreted Signaling
TYROBP,CD44,nan,Cell-Cell Contact
VEGFD,FLT4,nan,Secreted Signaling
VEGFD,KDR,nan,Secreted Signaling
EFNA2,EPHA1,nan,Cell-Cell Contact
EFNA2,EPHA2,nan,Cell-Cell Contact
EFNA2,EPHA3,nan,Cell-Cell Contact
EFNA2,EPHA8,nan,Cell-Cell Contact
EFNA2,EPHA5,nan,Cell-Cell Contact
EFNA2,EPHA4,nan,Cell-Cell Contact
EFNA2,EPHA7,nan,Cell-Cell Contact
CXCL13,CXCR5,nan,Secreted Signaling
CXCL13,ACKR4,nan,Secreted Signaling
FGF17,FGFR2,nan,Secreted Signaling
FGF17,FGFR3,nan,Secreted Signaling
GDF9,TGFBR1_BMPR2,nan,Secreted Signaling
VEGFA,NRP2,nan,Secreted Signaling
PGF,NRP2,nan,Secreted Signaling
SEMA3F,NRP2,nan,Secreted Signaling
