ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
COL3A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0A7864078,Cell-Cell Contact
COL4A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0756B421F,Cell-Cell Contact
COL4A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0096917A2,Cell-Cell Contact
COL4A3,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0CC8A2F79,Cell-Cell Contact
COL4A4,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC030087D4F,Cell-Cell Contact
COL4A5,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0F1833AC0,Cell-Cell Contact
COL4A6,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0BFDE14E9,Cell-Cell Contact
COL5A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC05590EDD3,Cell-Cell Contact
COL5A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0CED85DDE,Cell-Cell Contact
COL5A3,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0DA063880,Cell-Cell Contact
COL6A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0251EEF61,Cell-Cell Contact
COL6A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC07F654CB3,Cell-Cell Contact
COL6A3,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC059D160BE,Cell-Cell Contact
COL6A5,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E4A99136,Cell-Cell Contact
COL6A6,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E03C13D1,Cell-Cell Contact
COL7A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B4771D76,Cell-Cell Contact
